rank,stadium,capacity,region,country,city,home_teams
1,Rungrado 1st of May Stadium,114000,East Asia,North Korea,Pyongyang,"Korea DPR national football team, Korea DPR women's national football team, April 25"
2,Michigan Stadium,107601,North America,United States,"Ann Arbor, Michigan",Michigan Wolverines football
3,Ohio Stadium,102780,North America,United States,"Columbus, Ohio",Ohio State Buckeyes football
4,Melbourne Cricket Ground,100024,Oceania,Australia,"Melbourne, Victoria","Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC"
5,Camp Nou,99354,Europe,Spain,"Barcelona, Catalonia",FC Barcelona
6,FNB Stadium,94736,Africa,South Africa,"Johannesburg, Gauteng","South Africa national football team, Kaizer Chiefs"
7,New Administrative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,Egypt national football team
8,Rose Bowl Stadium,92800,North America,United States,"Pasadena, California",UCLA Bruins
9,Cotton Bowl Stadium,92100,North America,United States,"Dallas, Texas",Dallas Trinity FC
10,Wembley Stadium,90000,Europe,England,"London, England",England national football team
11,Lusail Stadium,88966,West Asia,Qatar,Lusail,Qatar national football team
12,Estadio Azteca,87523,North America,Mexico,Mexico City,"Club América, Cruz Azul, Mexico national football team"
13,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,Malaysia national football team
14,Borg El-Arab Stadium,86000,Africa,Egypt,Alexandria,"Egypt national football team, Al Ittihad, Smouha"
15,Estadio Santiago Bernabéu,85000,Europe,Spain,Madrid,Real Madrid
16,Estadio Mâs Monumental,84567,South America,Argentina,Buenos Aires,"Argentina national football team, River Plate"
17,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales","South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team"
18,MetLife Stadium,82500,North America,United States,"East Rutherford, New Jersey","New York Giants, New York Jets, United States men's national soccer team"
19,Croke Park,82300,Europe,Ireland,Dublin,"Gaelic Athletic Association, Dublin GAA"
