user,text,time,language,source,retweet_count,reply_count,like_count,quote_count
44196397,How many real people are still on the Internet? https://t.co/RmIjooIwxt,2025-05-27 06:02:12+00:00,en,,478,1919,3833,84
44196397,Kardashev 1 or you’re not even trying,2025-05-27 05:57:28+00:00,en,,513,1190,4992,123
44196397,"Starship Pez Dispenser 
 https://t.co/7yl0h1CXkn",2025-05-27 05:01:25+00:00,en,,1569,1372,16188,117
44196397,🥰 💫 https://t.co/KQdCCM32gs,2025-05-27 01:58:57+00:00,art,,1926,2009,14467,121
44196397,True https://t.co/UtyoHuynMn,2025-05-26 21:11:28+00:00,en,,7666,2959,50507,153
44196397,Hmm https://t.co/FhWfdOkZ7e,2025-05-26 18:14:53+00:00,qst,,11660,3721,70398,276
44196397,"If all goes well, Starship launches tomorrow https://t.co/gcO3fmjLng",2025-05-26 18:13:03+00:00,en,,14654,6646,127972,647
44196397,Starship can reach Mars in 6 months every 26 months when the planets align https://t.co/CPiBqHCb4P,2025-05-26 17:45:53+00:00,en,,19602,8556,131151,910
44196397,For now https://t.co/eoNi1Yee7k,2025-05-26 15:04:52+00:00,en,,11321,5365,102565,444
44196397,"Hear, hear! 💫 https://t.co/dcMr7kvIDg",2025-05-25 23:08:40+00:00,en,,12705,5990,87241,396
